GENE_ID	NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1	NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1	NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1	NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1	NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1	NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1	NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1	NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1
ENSG00000142661	35	28	36	24	48	149	23	41
ENSG00000142669	14615	9843	10774	10195	16072	8324	9711	5144
ENSG00000142675	3341	9717	3625	3929	2683	2664	1757	4099
ENSG00000142676	41779	47441	40743	49133	39966	30585	44030	33359
ENSG00000142677	56	5	374	173	285	86	74	65
ENSG00000142684	1073	3174	573	1007	615	921	762	662
ENSG00000142686	1077	1361	1138	1036	1507	1250	1187	1017
ENSG00000142687	8405	13556	10487	10438	10321	7369	6062	10246
ENSG00000142694	1683	2609	2098	2588	1985	1453	1342	1349
ENSG00000142698	2	0	1	0	1	0	4	0
ENSG00000142700	5	3301	11	1	19	1	5	2163
ENSG00000142731	151	135	283	1192	273	110	105	238
ENSG00000142733	9935	11031	10236	5550	13142	13151	7429	5341
ENSG00000142748	22643	1079	20387	418	19336	32720	20190	612
ENSG00000142751	2458	3903	3054	2268	3058	2666	1682	2004
ENSG00000142765	2997	14484	5266	9127	4769	2818	2305	7557
ENSG00000142784	7060	9105	10557	4494	9915	5664	5202	6439
ENSG00000142789	1	0	0	1	0	0	0	0
ENSG00000142794	229	1008	1041	522	894	456	325	911
ENSG00000142798	28411	51865	45107	25042	54153	31777	23116	61165
ENSG00000142856	399	356	493	391	654	443	550	553
ENSG00000142864	11596	14737	14937	16948	16081	14429	10288	10460
ENSG00000142867	2980	1997	1455	4321	1791	1580	2802	1055
ENSG00000142871	36595	3275	42326	16071	42625	46834	51598	8010
ENSG00000142875	2270	1516	3497	1210	4522	1779	1357	2340
ENSG00000142892	2211	2005	2812	1380	3225	1995	1814	2315
ENSG00000142910	5226	2665	10214	3577	6582	7936	7086	2128
ENSG00000142920	362	2004	613	407	589	635	214	853
ENSG00000142937	35628	57476	37936	65147	40417	34644	40444	41132
ENSG00000142945	65	109	144	2350	195	170	62	360
ENSG00000142949	25132	54702	35409	36431	27191	18578	14757	21728
ENSG00000142959	125	105	778	406	126	66	104	64
ENSG00000142961	4971	2038	3122	1292	4350	3614	3492	1867
ENSG00000142973	25460	6943	39162	2981	24594	11971	33643	23622
ENSG00000143001	94	298	133	234	131	54	122	104
ENSG00000143006	0	0	0	0	0	0	0	0
ENSG00000143013	3226	7437	6489	1400	5379	2807	2686	2133
ENSG00000143028	87	27	168	29	201	127	125	66
ENSG00000143032	0	0	0	0	0	0	0	0
ENSG00000143033	1859	1960	2354	2181	2592	1888	1443	1920
ENSG00000143036	957	2374	1872	1545	1052	1230	1003	1670
ENSG00000143061	6060	6571	4218	3754	4834	3117	4563	8011
ENSG00000143067	669	612	1393	502	1342	938	477	659
ENSG00000143079	2953	1657	4930	3386	5199	5699	2536	3213
ENSG00000143093	2527	3796	3489	2316	4103	3023	2081	2826
ENSG00000143105	31	0	20	3	11	5	3	0
ENSG00000143106	3605	5765	3555	6239	4094	3188	2983	2733
ENSG00000143107	9	3	1	0	4	6	10	3
ENSG00000143110	4812	681	3227	1234	6661	2416	3097	1126
ENSG00000143119	6747	892	6752	3778	13919	5070	5896	2200
ENSG00000143125	1	1	7	5	4	1	4	14
ENSG00000143126	1135	6620	2371	2376	2180	1069	625	1860
ENSG00000143127	2905	1282	1714	268	2038	2001	1968	1434
ENSG00000143147	1303	342	1476	307	2029	1153	668	1244
ENSG00000143149	5312	12103	6537	4814	4245	3334	4007	3527
ENSG00000143153	19279	323709	16172	25759	15481	18141	8817	29626
ENSG00000143155	2789	5246	3091	5839	3586	2858	2364	2565
ENSG00000143156	1113	13920	1386	1891	820	874	871	1326
ENSG00000143157	7070	13377	7253	9522	8621	7800	4734	4416
ENSG00000143158	2510	5148	3102	4896	2539	2385	2160	2146
ENSG00000143162	9067	21303	11037	11556	13306	6768	7207	4907
ENSG00000143164	5287	7393	5569	5469	5762	4683	3919	5111
ENSG00000143167	530	31	350	39	867	118	473	29
ENSG00000143171	388	154	771	21	402	470	361	81
ENSG00000143178	324	1500	855	450	854	349	233	444
ENSG00000143179	655	2163	1013	757	1066	585	857	789
ENSG00000143183	4405	13970	4878	7928	5004	4258	3650	4598
ENSG00000143184	53	10	153	65	602	148	144	95
ENSG00000143185	83	5	130	53	435	86	70	13
ENSG00000143190	1974	3075	2673	2681	2953	2013	1488	2002
ENSG00000143194	13	39	18	3	9	14	7	20
ENSG00000143195	319	84	324	62	166	534	133	241
ENSG00000143196	1030	126	4985	988	5933	3466	5102	2554
ENSG00000143198	5394	5305	5302	4239	5162	3419	4549	2833
ENSG00000143199	31	33	19	11	18	25	22	12
ENSG00000143207	2620	5583	3026	3136	3053	2292	2417	2234
ENSG00000143217	1429	19485	1530	8084	901	1744	503	2947
ENSG00000143222	3942	10839	6133	10414	4424	3625	3526	3389
ENSG00000143224	1454	5587	3447	2049	1983	1220	1011	1501
ENSG00000143226	6090	1586	7878	3801	13187	4329	4929	3698
ENSG00000143228	32	63	109	1199	154	36	58	224
ENSG00000143248	7381	4445	12212	4029	15305	20547	4873	7618
ENSG00000143252	2690	8927	3186	5473	3100	3148	2166	2422
ENSG00000143256	2039	3881	1532	3323	1482	1804	1949	1199
ENSG00000143257	178	333	161	159	183	112	159	106
ENSG00000143258	1745	7162	3417	3333	3028	2454	1346	3563
ENSG00000143278	0	0	0	0	1	0	0	2
ENSG00000143294	3707	8429	4098	5686	4401	3686	3479	3424
ENSG00000143297	35	193	293	843	321	46	344	225
ENSG00000143303	1897	7428	2739	2694	2686	1903	1433	1748
ENSG00000143314	1987	8329	1650	4516	1809	2125	1629	1232
ENSG00000143315	1197	4575	1712	1723	1911	1594	942	2007
ENSG00000143318	65	37	118	47	60	42	63	28
ENSG00000143319	2699	4874	2110	4790	2590	2630	2385	2460
ENSG00000143320	187	19444	180	42963	333	606	304	3057
ENSG00000143321	16996	44383	13325	41115	12393	16200	13366	11803
ENSG00000143322	4825	5766	2039	5646	3504	3911	3977	1987
ENSG00000143324	2666	9847	3738	18148	4429	4462	2182	5598
ENSG00000143333	8591	4463	1563	1472	5614	2813	11662	585
ENSG00000143337	5547	6431	7840	5792	8448	5483	5379	4496
ENSG00000143340	0	16	4	10	2	5	0	2
ENSG00000143341	4241	1773	5623	1443	7344	3343	2417	7517
ENSG00000143344	3900	3277	6291	5229	7173	3926	3664	4088
ENSG00000143353	1141	2807	1523	1862	1622	847	977	1315
ENSG00000143355	185	5019	187	8	73	15	66	225
ENSG00000143363	1552	4911	2312	2571	2112	1516	1134	1657
ENSG00000143365	1994	28963	2877	4531	2745	2280	1399	4376
ENSG00000143367	4122	6027	2671	4965	1490	2326	1878	2385
ENSG00000143368	4842	11609	4927	8990	4440	4713	3808	3370
ENSG00000143369	1250	2289	3441	9322	2913	2024	1732	2349
ENSG00000143373	1864	8701	3711	4614	3415	2157	1763	2241
ENSG00000143374	1066	5233	2192	3118	2128	1138	939	2158
ENSG00000143375	17318	13024	12811	15197	12020	18941	11845	10038
ENSG00000143376	3191	7314	4642	6652	6518	3804	2203	5256
ENSG00000143379	2744	10049	5072	7211	5180	3543	2187	4095
ENSG00000143382	12288	1867	9220	2052	15236	5075	7792	3354
ENSG00000143384	87608	49000	36781	52886	87992	95086	100369	25256
ENSG00000143387	1497	2851	2680	2503	3485	1235	1773	4502
ENSG00000143390	4959	6919	5554	7112	6753	3681	3055	5985
ENSG00000143393	7453	16300	8489	7345	8399	6675	6001	7698
ENSG00000143398	7762	12558	5405	7682	5784	7102	6986	5301
ENSG00000143401	3310	6283	4495	4718	4204	3358	2940	5002
ENSG00000143409	1591	8291	3232	2339	2619	2120	1475	1413
ENSG00000143412	485	2198	800	848	649	443	337	348
ENSG00000143416	33955	101690	25874	4007	23398	18967	22328	10848
ENSG00000143418	16270	30678	18985	29877	17910	15602	15986	12657
ENSG00000143420	12799	29361	12203	17684	11414	11226	10658	8361
ENSG00000143429	20	40	13	59	26	27	6	8
ENSG00000143434	947	1907	1256	634	1292	965	877	2046
ENSG00000143436	1951	6547	2506	4500	2412	2107	1991	2128
ENSG00000143437	6351	9410	7746	5845	8165	6630	4491	6462
ENSG00000143442	12128	23235	11758	8253	14478	12659	7793	11461
ENSG00000143443	2122	5490	1385	1617	1516	1526	1993	1146
ENSG00000143450	213	1416	399	631	423	349	204	441
ENSG00000143452	10	398	22	12	63	294	14	844
ENSG00000143457	1770	5779	2893	3181	2730	2231	1182	6613
ENSG00000143458	2465	8138	3777	1777	4680	3078	1467	1220
ENSG00000143469	3	28	5	0	1	2	0	3
ENSG00000143473	37	101	75	47	104	57	25	51
ENSG00000143476	83	88	222	1255	1010	262	56	355
ENSG00000143479	6879	5061	982	1783	1475	5641	5371	970
ENSG00000143486	2480	6396	3820	4429	3658	2959	2330	2792
ENSG00000143493	1136	3849	1256	3370	1571	1554	833	1485
ENSG00000143494	264	132	216	177	408	228	149	673
ENSG00000143498	239	579	427	590	398	380	178	300
ENSG00000143499	2463	3991	3117	2748	3119	2621	2172	1844
ENSG00000143502	337	2514	738	519	530	685	287	2513
ENSG00000143507	1140	782	992	2752	1488	653	1092	1308
ENSG00000143512	22	2914	69	126	24	31	13	106
ENSG00000143514	12088	6178	4907	4504	6520	7198	7569	3260
ENSG00000143515	2956	2139	7026	3462	8947	4724	3561	7290
ENSG00000143520	0	0	4	0	0	1	2	4
ENSG00000143536	0	0	0	0	0	0	0	0
ENSG00000143537	8053	35482	14056	24733	11071	10735	8352	7362
ENSG00000143543	7020	18371	6116	8252	6466	5699	5931	7812
ENSG00000143545	4750	9631	4425	6037	4672	3246	3579	4164
ENSG00000143546	1553	238	1310	331	3264	3077	6543	309
ENSG00000143549	27966	27943	24145	36262	27861	22192	28581	13980
ENSG00000143552	72	133	21	62	55	357	33	404
ENSG00000143553	1653	3742	1785	2759	1878	1418	1496	1213
ENSG00000143554	10124	5027	5601	1793	8472	7237	4992	3668
ENSG00000143556	3	1	5	2	1	0	6	1
ENSG00000143569	13163	25104	13165	24552	13999	13458	9432	13664
ENSG00000143570	8628	18594	9035	14149	9238	7299	7609	5401
ENSG00000143575	3512	7668	3317	4256	3158	3055	3116	2244
ENSG00000143578	419	2190	1114	1349	835	546	392	963
ENSG00000143590	41	2240	94	693	83	65	78	213
ENSG00000143595	36	6	151	4	32	55	52	3
ENSG00000143603	806	220	1053	294	1371	944	854	639
ENSG00000143612	11526	23459	11204	19774	11409	10412	9387	7638
ENSG00000143614	3545	8323	6560	5961	7078	4657	3309	4711
ENSG00000143621	7630	14367	5954	14913	6390	7605	7941	7804
ENSG00000143622	4119	11392	3158	7377	3853	4503	3303	2137
ENSG00000143624	15940	24735	17072	9677	17205	13308	8540	17808
ENSG00000143627	72	231	100	137	71	43	53	111
ENSG00000143630	394	1180	747	1031	604	305	267	1013
ENSG00000143631	21	12	32	9	107	52	35	158
ENSG00000143632	101	118	81	65	53	59	62	49
ENSG00000143633	437	1278	720	1380	844	666	407	908
ENSG00000143641	5013	21457	5981	8488	7689	5184	4310	5485
ENSG00000143643	1636	2918	1920	2517	2938	1829	1177	2737
ENSG00000143653	2186	6024	3235	12456	3491	1961	1999	1772
ENSG00000143669	3893	3647	5228	6515	4436	3870	3284	1959
ENSG00000143674	1014	3162	1314	3097	1651	1110	763	1416
ENSG00000143702	2334	2075	2873	2873	3954	2609	1499	2637
ENSG00000143727	4160	6016	4913	4907	5160	3905	3780	3241
ENSG00000143740	1695	7278	2276	4353	2587	1886	1386	2310
ENSG00000143742	8738	24602	11278	20502	10588	8910	7700	7348
ENSG00000143748	1266	4666	1887	2544	2018	1887	905	2455
ENSG00000143751	3274	2813	2621	4936	2905	3449	2850	1732
ENSG00000143753	6467	9136	5952	6776	6164	4174	5342	3433
ENSG00000143756	3254	5976	3055	6900	3934	3735	2339	2315
ENSG00000143761	31201	71423	32000	43622	31920	26898	27262	20957
ENSG00000143768	255	34	419	42	258	217	276	160
ENSG00000143771	2797	9043	2738	4131	3457	2638	2563	2279
ENSG00000143772	6397	11680	9078	4294	9077	4968	4926	4517
ENSG00000143774	10758	24127	10525	12959	10137	9150	9270	6738
ENSG00000143776	5980	17762	6490	32599	6690	6530	4005	5368
ENSG00000143786	72	29	98	34	90	54	42	57
ENSG00000143793	1041	4723	1629	3640	1484	1460	809	1297
ENSG00000143797	5500	4190	4830	6632	4210	5476	2803	2053
ENSG00000143799	5008	11905	7371	9585	8103	7193	4700	7003
ENSG00000143801	1787	5620	2684	3643	2403	2054	1206	1907
ENSG00000143811	3847	11381	6008	5826	4646	4305	3189	4132
ENSG00000143815	3453	5737	4784	6750	4717	4280	2837	3058
ENSG00000143816	1645	1292	2197	2956	1852	1263	1327	369
ENSG00000143819	19354	160813	22542	34169	16781	35482	12854	6711
ENSG00000143839	248	9	90	14	70	40	103	28
ENSG00000143842	4512	3137	11926	2584	9443	7952	4006	3152
ENSG00000143845	310	995	578	736	539	404	275	430
ENSG00000143847	243	2602	648	433	360	212	300	575
ENSG00000143850	727	7825	2091	4862	2192	2272	909	631
ENSG00000143851	705	347	1521	1370	3494	969	1075	597
ENSG00000143858	312	667	260	734	278	251	221	627
ENSG00000143862	6026	9741	5326	4360	5900	5140	4604	3378
ENSG00000143867	525	802	1973	217	1908	800	441	1206
ENSG00000143869	127	76	222	105	299	251	81	535
ENSG00000143870	9151	29812	12330	13701	12926	9990	8716	12110
ENSG00000143878	57327	75243	43981	16071	71550	87565	52352	23407
ENSG00000143882	4477	13325	4766	6940	4905	5112	4068	5397
ENSG00000143889	3439	2259	3434	2552	3795	3538	3189	2126
ENSG00000143891	1670	2087	2094	3682	2939	2058	1386	1520
ENSG00000143919	392	590	408	165	357	350	350	267
ENSG00000143921	10	5	11	3	25	7	7	6
ENSG00000143924	8796	8014	7595	8192	12177	8433	8596	7333
ENSG00000143933	44093	40648	37764	27105	35274	29915	36345	19218
ENSG00000143942	139	325	94	163	143	137	96	106
ENSG00000143947	32884	32907	31360	29986	34641	23999	38547	23238
ENSG00000143951	408	458	887	364	733	495	335	491
ENSG00000143952	3103	4269	3468	2250	4038	3141	2505	2821
ENSG00000143954	0	0	0	0	0	0	0	0
ENSG00000143970	3011	3088	3594	2856	4807	2952	1615	2218
ENSG00000143971	803	1706	1689	1205	1859	822	554	874
ENSG00000143977	1998	3165	1419	1801	1579	1438	1754	1074
ENSG00000143994	28	99	48	7	68	42	36	21
ENSG00000143995	5159	1044	9371	1071	9116	7691	3736	4033
ENSG00000144010	0	0	0	0	0	0	0	0
ENSG00000144015	0	0	0	0	0	0	0	0
ENSG00000144021	5709	9092	7525	8687	8047	6331	4394	5806
ENSG00000144026	2663	6057	3723	3977	3086	2108	1357	3094
ENSG00000144028	13476	23517	17565	27910	21668	14485	9242	16687
ENSG00000144029	3094	5378	2956	3936	3321	2853	2386	2959
ENSG00000144031	296	105	237	62	225	324	252	155
ENSG00000144034	682	831	935	690	907	588	643	604
ENSG00000144035	4	3	25	12	24	17	8	8
ENSG00000144036	2013	2069	2758	1001	2828	2763	1468	1315
ENSG00000144040	1001	3911	1403	908	1375	917	616	1108
ENSG00000144043	5786	8087	7519	4779	8204	5647	4898	4241
ENSG00000144045	14	32	66	29	22	8	18	101
ENSG00000144048	1054	1264	1392	1285	1579	1268	956	1249
ENSG00000144057	288	18	282	73	186	280	23	69
ENSG00000144061	1193	1029	2056	583	915	764	712	1243
ENSG00000144063	4267	9111	1703	865	1885	1470	1731	3926
ENSG00000144115	1268	3944	1025	167	1812	1294	959	1874
ENSG00000144118	4086	4085	6776	10117	6616	4533	4680	2727
ENSG00000144119	1	4	9	5	3	1	1	13
ENSG00000144120	144	885	433	1233	367	300	118	708
ENSG00000144130	13	7	18	69	80	18	14	28
ENSG00000144134	918	1876	2620	807	1597	942	538	1161
ENSG00000144136	6268	6953	4127	5458	5214	10066	7379	5441
ENSG00000144152	191	44	398	119	417	160	228	1058
ENSG00000144158	12	42	8	14	8	10	11	3
ENSG00000144161	510	1161	1118	1437	1100	887	472	1511
ENSG00000144182	407	477	613	439	721	529	385	322
ENSG00000144188	0	0	0	0	0	0	0	0
ENSG00000144191	15	172	154	214	66	99	9	927
ENSG00000144199	408	1019	663	824	678	457	404	815
ENSG00000144214	138	132	102	48	152	86	76	98
ENSG00000144218	4286	2505	2282	314	2867	3196	2511	2725
ENSG00000144224	10984	12874	11494	16645	13263	10282	8441	12416
ENSG00000144227	7	0	4	6	2	1	1	0
ENSG00000144228	2220	1653	2697	3720	3113	2673	1731	2431
ENSG00000144229	10	67	36	21	26	14	8	102
ENSG00000144230	2014	205	2589	96	1568	1816	790	149
ENSG00000144231	1935	2745	2118	4529	2393	2117	1574	2198
ENSG00000144233	4148	3650	2873	4426	3537	3806	3010	3115
ENSG00000144278	791	47	647	24	567	519	195	1
ENSG00000144283	6292	7870	7098	6193	5960	4230	3783	4718
ENSG00000144285	2409	565	1731	201	968	395	704	56
ENSG00000144290	62	18	56	9	30	13	43	18
ENSG00000144306	1149	2746	1475	2550	1495	1080	679	763
ENSG00000144320	1812	2147	2835	5093	3127	1674	1370	1703
ENSG00000144331	5531	5180	2995	909	5727	4496	3370	770
ENSG00000144339	30	6	25	3	68	29	9	24
ENSG00000144354	214	92	364	4274	326	245	113	2379
ENSG00000144355	0	3	7	9	5	1	2	17
ENSG00000144357	3622	3427	4061	4946	4173	3603	2907	2159
ENSG00000144362	292	258	274	664	228	220	194	152
ENSG00000144366	1305	1712	2395	3688	2239	1515	1296	1238
ENSG00000144369	220	175	405	207	354	283	225	233
ENSG00000144381	10589	14418	8926	29697	12412	13598	9606	9098
ENSG00000144395	78	92	82	478	97	125	51	200
ENSG00000144401	519	881	719	739	709	657	443	687
ENSG00000144406	28	11	39	16	29	51	16	7
ENSG00000144407	13	0	20	1	17	2	9	5
ENSG00000144410	18	42	49	6	48	21	25	13
ENSG00000144426	4613	5848	3942	2559	4093	3969	2678	3618
ENSG00000144445	2762	2285	3534	2640	3529	3659	1704	2446
ENSG00000144451	605	231	1545	655	900	650	607	742
ENSG00000144452	7	1271	50	205	16	44	4	121
ENSG00000144455	3002	6969	3234	1998	2938	1664	2115	1765
ENSG00000144460	480	38	245	171	758	165	102	1947
ENSG00000144468	1836	1855	2439	2198	2880	1821	1392	1175
ENSG00000144476	1923	1533	1935	530	3666	1271	1810	719
ENSG00000144481	8	13	1	30	28	10	5	70
ENSG00000144485	239	1241	404	314	263	285	240	1163
ENSG00000144488	10	29	240	368	74	26	38	381
ENSG00000144504	1246	3377	3620	1368	2494	2010	979	1594
ENSG00000144524	1761	4576	3469	2746	3221	2051	1276	2302
ENSG00000144535	2170	2771	3150	1813	2932	2359	1773	2080
ENSG00000144550	36	15	37	13	24	38	29	71
ENSG00000144554	649	903	592	1438	894	419	324	507
ENSG00000144559	450	697	829	421	760	471	278	452
ENSG00000144560	6835	6716	9720	4592	7596	6052	6540	5846
ENSG00000144566	5900	5775	6315	5415	6350	5177	6073	3362
ENSG00000144567	5598	12362	7714	6764	8358	4626	4220	4575
ENSG00000144579	15442	21187	16654	7678	17306	10950	10174	6057
ENSG00000144580	5117	5332	4448	4933	4584	4085	4352	3572
ENSG00000144583	19	22	150	17	41	13	7	36
ENSG00000144589	2269	3532	3426	2117	3041	1885	1450	2553
ENSG00000144591	2086	5702	2351	3852	2791	1858	1382	4436
ENSG00000144596	185	403	307	133	455	407	130	84
ENSG00000144597	2924	2692	2053	1692	3221	2736	2174	1488
ENSG00000144619	533	201	720	158	787	605	297	174
ENSG00000144635	2778	2416	3190	2024	3273	2725	2616	1327
ENSG00000144642	4181	1208	5476	573	5271	3908	3333	1424
ENSG00000144644	14	2	19	1	22	9	8	9
ENSG00000144645	1067	1491	1652	1758	1738	1216	1169	1177
ENSG00000144647	1005	868	1624	437	1688	1022	1086	777
ENSG00000144648	92	70	270	73	216	204	189	99
ENSG00000144649	185	122	303	81	720	259	335	181
ENSG00000144655	22148	6383	4253	2549	19665	21060	39822	1352
ENSG00000144659	1765	4001	3053	1976	3401	1923	1775	1954
ENSG00000144668	3512	3770	2897	1256	4397	3928	2531	7610
ENSG00000144671	20	5	15	8	4	14	19	16
ENSG00000144674	5913	6517	5223	7172	5761	5373	3995	4085
ENSG00000144677	6781	4047	9318	2054	9888	5895	4962	3732
ENSG00000144681	1199	163	1904	1315	2127	826	761	281
ENSG00000144711	8245	5330	15108	5565	16169	8165	7442	4828
ENSG00000144712	358	558	1017	285	857	711	437	375
ENSG00000144713	30186	36659	31187	35541	31484	23680	36180	23137
ENSG00000144724	5516	5435	5014	2758	5886	5518	4678	3654
ENSG00000144730	102	450	214	235	395	113	69	239
ENSG00000144736	958	1214	1334	905	1287	897	763	868
ENSG00000144741	4055	6319	4540	2084	3747	2767	3487	3610
ENSG00000144744	4589	5203	4701	4236	4928	3663	4130	3511
ENSG00000144746	14186	10852	14816	10227	17455	7647	13253	8369
ENSG00000144747	4439	3747	4093	4843	4611	3847	3276	4022
ENSG00000144749	8923	14151	13289	5522	10376	8152	7167	10678
ENSG00000144771	0	0	0	0	3	0	0	0
ENSG00000144785	1456	5302	2065	3392	1986	1479	1389	3683
ENSG00000144791	12585	9536	15633	8303	18390	13000	8578	10122
ENSG00000144792	438	157	366	105	379	254	212	126
ENSG00000144802	33500	7431	6184	7115	17447	8083	29906	6158
ENSG00000144810	8283	2665	8065	4693	16795	7813	7251	23077
ENSG00000144815	2394	1379	2909	843	4098	2540	1943	1086
ENSG00000144820	0	2	1	2	0	0	0	0
ENSG00000144821	86	7	159	40	493	120	114	74
ENSG00000144824	11745	613	5637	751	5507	4680	7537	1852
ENSG00000144827	1346	1763	2163	929	2056	934	837	1105
ENSG00000144834	1	2	64	10	20	7	19	3
ENSG00000144837	851	72	1201	198	1315	1472	1187	588
ENSG00000144840	1786	3671	2419	1598	2184	1732	1376	1380
ENSG00000144843	2254	1053	3266	795	2730	1874	2313	1021
ENSG00000144847	26	13	62	10	27	34	21	79
ENSG00000144848	2892	3046	3498	2998	4099	2482	2564	2138
ENSG00000144852	17	15	46	16	23	6	8	28
ENSG00000144857	421	523	1425	444	1828	422	942	990
ENSG00000144867	1841	3711	2054	3195	2209	1677	1567	3011
ENSG00000144868	905	3800	2333	264	2331	2441	1268	1137
ENSG00000144891	706	57	1224	48	1871	1356	748	1361
ENSG00000144893	1177	145	2391	178	2102	914	1546	339
ENSG00000144895	4722	5449	5989	6466	6255	4218	4808	5013
ENSG00000144908	32	111	516	149	85	117	43	159
ENSG00000144909	3022	1433	2953	1559	3725	2296	1759	1541
ENSG00000144935	932	271	1315	212	1324	852	766	670
ENSG00000144959	3021	806	3078	3656	4892	1641	2465	2455
ENSG00000144962	0	0	0	0	0	0	0	0
ENSG00000145002	67	220	94	34	96	35	27	39
ENSG00000145012	8187	11967	10581	6639	12850	11249	5368	8449
ENSG00000145014	1851	1856	2241	446	2350	2563	1068	1630
ENSG00000145016	4364	4536	4151	3301	5570	4360	3396	3580
ENSG00000145020	3198	2830	4009	3073	3422	2128	2147	1933
ENSG00000145022	2712	5579	3973	4061	3310	1725	2504	1077
ENSG00000145029	3414	3501	5046	1620	4183	2672	2224	2336
ENSG00000145040	6	22	42	18	16	24	13	3
ENSG00000145041	3441	4246	4475	4194	4541	3494	3072	2305
ENSG00000145050	2115	10775	2168	3021	1854	1487	1656	1873
ENSG00000145063	2	56	13	16	7	10	6	1
ENSG00000145075	501	563	1629	506	1056	522	212	928
ENSG00000145087	0	269	1	7	0	7	1	1
ENSG00000145088	114	159	197	161	218	120	154	103
ENSG00000145103	475	1286	894	410	697	375	364	778
ENSG00000145107	209	24	179	389	164	310	51	71
ENSG00000145113	4964	34327	13649	59534	5194	4068	257	403
ENSG00000145147	7217	704	12182	1502	19233	10144	9564	4231
ENSG00000145191	3921	6203	5062	3287	5130	4358	3375	4768
ENSG00000145192	0	0	0	0	0	0	0	0
ENSG00000145194	1	0	9	1	1	0	7	2
ENSG00000145198	32	11	181	17	71	34	17	19
ENSG00000145214	2406	5125	3218	2635	3814	2796	1498	2966
ENSG00000145216	2611	3710	3745	3047	3899	2961	2210	2339
ENSG00000145217	755	2564	847	638	943	591	475	1585
ENSG00000145220	1151	750	924	1040	1364	1457	896	471
ENSG00000145241	1450	1435	2444	1717	2425	1789	1315	1423
ENSG00000145242	0	2	6	19	36	8	11	68
ENSG00000145244	253	32	548	156	499	228	947	852
ENSG00000145246	1809	835	2000	799	3610	2563	1360	2011
ENSG00000145247	1160	7898	1283	4810	1749	1519	970	2232
ENSG00000145248	72	265	112	13	44	36	72	97
ENSG00000145283	12	13	50	16	40	11	70	25
ENSG00000145284	3853	338	4947	368	4045	2225	2635	1526
ENSG00000145287	2092	95	3416	1471	2401	1541	1698	322
ENSG00000145293	1941	2959	2705	4115	2657	2090	1678	1880
ENSG00000145309	0	0	0	0	0	0	0	0
ENSG00000145321	0	0	0	0	0	0	0	1
ENSG00000145331	406	580	501	735	362	358	364	571
ENSG00000145332	1083	1639	1422	2221	1916	1315	634	1334
ENSG00000145335	544	101	674	179	793	415	509	151
ENSG00000145337	4281	5516	5095	4464	5040	3837	4198	2769
ENSG00000145348	1421	1956	1998	1640	2453	1634	1141	1651
ENSG00000145349	4413	6135	5443	5815	6504	5259	3579	4740
ENSG00000145354	1484	3460	1421	2049	1754	1204	1377	1455
ENSG00000145358	59	742	88	236	51	55	67	1960
ENSG00000145362	2053	390	1531	389	2533	1780	2629	728
ENSG00000145365	2565	685	894	874	1637	993	3472	964
ENSG00000145375	528	385	820	603	992	745	494	543
ENSG00000145384	2	1	0	1	1	4	5	0
ENSG00000145386	314	402	394	2121	466	374	167	625
ENSG00000145388	1988	2377	2633	1838	2556	1645	1506	1334
ENSG00000145390	3509	3060	5310	2634	7474	5118	3928	3116
ENSG00000145391	4955	3693	5690	7362	7730	5201	3222	4741
ENSG00000145414	1371	731	932	1114	1005	1049	1052	487
ENSG00000145416	693	507	1637	2023	3916	1018	568	1181
ENSG00000145423	900	1144	3770	8445	6948	639	1726	7069
ENSG00000145425	35532	47175	38737	61639	39380	31020	33628	33400
ENSG00000145428	238	112	281	104	336	162	415	177
ENSG00000145431	1363	1080	1764	748	3026	1301	1253	4266
ENSG00000145439	1299	2020	2009	2141	2165	1403	837	2233
ENSG00000145451	4	1366	8	6	9	22	8	65
ENSG00000145476	4981	4962	3412	591	4928	3224	3219	2503
ENSG00000145491	95	119	1652	286	260	100	72	9
ENSG00000145494	2089	5967	2097	3771	2053	1808	1896	2068
ENSG00000145495	13347	32698	13219	15095	13860	12765	9923	11295
ENSG00000145506	3245	1006	10307	673	8444	4079	3108	2631
ENSG00000145526	0	0	1	7	0	0	0	1
ENSG00000145536	25	31	22	445	307	15	16	3503
ENSG00000145545	620	1590	789	2482	1114	548	406	1159
ENSG00000145555	8188	8576	10186	10215	11201	10761	6587	8825
ENSG00000145569	5928	1163	5307	866	7575	4980	5637	3299
ENSG00000145592	29757	60309	28465	73977	29638	23047	35675	38429
ENSG00000145604	657	1429	1712	2718	2156	1011	406	1365
ENSG00000145623	15712	14773	7613	33622	11517	21150	12258	10119
ENSG00000145626	3	0	0	0	0	0	0	12
ENSG00000145632	4041	1791	9057	1993	7760	10782	4511	4069
ENSG00000145642	1	0	4	2	0	3	2	5
